t,pid,name,src,dst,cur,act,hop,nCand,masked,qAct,delayAct,rhoAct,relAct,tremAct,reward,done,failCode
8,0,global_dijkstra,11,9,11,10,1,96,0,10,9.25185988058195,0.0569043160234375,0.988171482077188,999,-0.504585313585824,0,0
8,0,global_dijkstra,16,9,16,10,1,96,0,11,10.3819660112501,0.03452281875,0.99085726175,8,-0.771219537955561,0,0
8,0,global_dijkstra,19,9,19,20,1,96,0,1,9.49848959981197,0.018021849859375,0.992837378016875,999,-0.228267628180247,0,0
8,0,global_dijkstra,7,9,7,8,1,96,0,0,9.49848959981197,0.020582275484375,0.992530126941875,999,-0.203034913473719,0,0
9,0,global_dijkstra,16,20,16,22,1,96,0,0,10.0720742786083,0.02318640328125,0.99221763160625,9,-0.41598433212531,0,0
9,0,global_dijkstra,13,11,13,18,1,96,0,0,8.65082560867634,0.008525,0.993977,999,-0.148666782085468,0,0
9,0,global_dijkstra,13,23,13,18,1,96,0,1,8.65082560867634,0.018525,0.992777,999,-0.186384559863246,0,0
9,0,global_dijkstra,24,17,24,23,1,96,0,0,8.88167787843871,0.0110903026878906,0.993669163677453,999,-0.16275930644535,0,0
9,0,global_dijkstra,19,24,19,24,1,96,0,1,8.65082560867634,0.0001522435234375,0.994981730777188,999,2.83187796007446,1,0
9,0,global_dijkstra,4,1,4,5,1,96,0,0,9.08419229574109,0.0103562178757813,0.993757253854906,999,-0.172155347007233,0,0
9,0,global_dijkstra,18,9,18,12,1,96,0,1,10.0080514120095,0.0294714890390625,0.991463421315313,2,-0.813475008483082,0,0
9,0,global_dijkstra,15,9,15,9,1,96,0,0,10.3819660112501,0.0361226211886719,0.990665285457359,7,2.50328152826167,1,0
9,0,global_dijkstra,3,9,3,9,1,96,0,0,10.6178747020263,0.0239050378617188,0.992131395456594,6,2.46434465726414,1,0
9,0,global_dijkstra,13,9,13,14,1,96,0,0,9.46239186827274,0.00457740925039063,0.994450710889953,999,-0.185321189860177,0,0
9,0,global_dijkstra,13,9,13,14,1,96,0,1,9.46239186827274,0.0145774092503906,0.993250710889953,999,-0.223038967637954,0,0
9,0,global_dijkstra,7,9,7,8,1,96,0,0,9.46239186827274,0.0168202515164063,0.992981569818031,999,-0.197490575072596,0,0
9,0,global_dijkstra,6,9,6,12,1,96,0,2,10.0720742786083,0.0099936753125,0.9938007589625,9,-0.458426316079929,0,0
9,0,global_dijkstra,5,9,5,11,1,96,0,2,10.1980622641952,0.00705735246132813,0.994153117704641,8,-0.484723677111874,0,0
9,0,global_dijkstra,15,9,15,9,1,96,0,0,10.3819660112501,0.0661226211886719,0.987065285457359,7,2.47346152826167,1,0
9,0,global_dijkstra,4,9,4,10,1,96,0,12,10.3819660112501,0.00135933678203125,0.994836879586156,7,-0.795497100371463,0,0
9,0,global_dijkstra,18,9,18,12,1,96,0,3,10.0080514120095,0.0394714890390625,0.990263421315313,2,-0.878970564038638,0,0
9,0,global_dijkstra,21,9,21,15,1,96,0,2,10.1980622641952,0.01761038125,0.99288675425,8,-0.495213387727814,0,0
10,0,global_dijkstra,17,7,17,18,1,96,0,0,8.65082560867634,0.00201486468046875,0.994758216238344,999,-0.142195707577854,0,0
10,0,global_dijkstra,10,13,10,11,1,96,0,1,8.88167787843871,0.0422385555970899,0.989931373328349,999,-0.221498447614872,0,0
10,0,global_dijkstra,9,14,9,15,1,96,0,0,10.1980622641952,0.0473674416537695,0.989315907001548,7,-0.498700635927891,0,0
10,0,global_dijkstra,17,8,17,18,1,96,0,2,8.65082560867634,0.0220148646804687,0.992358216238344,999,-0.21763126313341,0,0
10,0,global_dijkstra,6,19,6,1,1,96,0,0,8.39905526835001,0.00678287501740234,0.994186054997912,999,-0.13434659283645,0,0
10,0,global_dijkstra,19,2,19,20,1,96,0,0,9.37929165882718,0.00847660958246094,0.993982806850105,999,-0.185041984517977,0,0
10,0,global_dijkstra,16,9,16,10,1,96,0,11,10.0720742786083,0.013468152671875,0.993383821679375,8,-0.734796613241814,0,0
10,0,global_dijkstra,4,9,4,10,1,96,0,12,10.1980622641952,0.00624763523011719,0.994250283772386,7,-0.791160881676114,0,0
10,0,global_dijkstra,14,9,14,15,1,96,0,1,9.25185988058195,0.0235636287535547,0.992172364549573,999,-0.22144467043956,0,0
10,0,global_dijkstra,7,9,7,8,1,96,0,0,9.37929165882718,0.0247511383340234,0.992029863399917,999,-0.20121886609703,0,0
10,0,global_dijkstra,20,9,20,21,1,96,0,0,9.25185988058195,0.0146321374808984,0.993244143502292,999,-0.184788990336762,0,0
