load_point,policy,metric,n,mean,ci95_low,ci95_high
exo28,full_heuristic,mean_queue_packets,15,11.79537037037037,11.697953703703703,11.892317129629633
exo28,global_dijkstra,delivery_ratio,15,0.2229390681003584,0.22034050179211465,0.22562724014336916
exo28,global_dijkstra,drop_rate,15,0.18835125448028672,0.1836021505376344,0.192831541218638
exo28,global_dijkstra,throughput_packets_per_slot,15,5.528888888888888,5.464444444444443,5.595555555555555
exo28,global_dijkstra,average_delay_slots,15,10.817318582785637,10.622369614286407,11.020005389061728
exo28,global_dijkstra,p95_delay_slots,15,22.056666666666665,21.676666666666666,22.466749999999998
exo28,global_dijkstra,mean_queue_packets,15,10.708148148148148,10.647222222222222,10.769724537037035
exo28,mappo,delivery_ratio,120,0.2212141577060932,0.21981406810035845,0.22263664874551967
exo28,mappo,drop_rate,120,0.1890456989247312,0.18739891353046595,0.1907148857526882
exo28,mappo,throughput_packets_per_slot,120,5.486111111111112,5.451388888888889,5.521388888888889
exo28,mappo,average_delay_slots,120,11.092020633470742,11.019420878157563,11.162756499495117
exo28,mappo,p95_delay_slots,120,22.220416666666665,22.046635416666668,22.401260416666663
exo28,mappo,mean_queue_packets,120,10.717268518518518,10.693226273148149,10.741008391203703
