timeSlot,policyId,policy,delivered,dropped,maxQueue,avgQueue,jainLoad,invalidActions,candidateActions,avgLocalReward
2,3,P3_full_local_cost,15,0,2,0.0833333333333333,0.760060099098299,90,1440,-0.521370567664481
3,3,P3_full_local_cost,16,0,3,0.166666666666667,0.583521889475296,96,1536,-0.633517655069862
4,3,P3_full_local_cost,16,0,8,0.416666666666667,0.488028818306536,96,1536,-0.720651613062546
5,3,P3_full_local_cost,17,0,10,0.5,0.470748849852749,102,1632,-0.631245190607871
6,3,P3_full_local_cost,17,0,11,0.708333333333333,0.525833862500002,102,1632,-0.601621802396706
7,3,P3_full_local_cost,18,0,12,0.666666666666667,0.608713042689357,108,1728,-0.612618925296811
8,3,P3_full_local_cost,18,0,15,0.916666666666667,0.545048527487706,108,1728,-0.641755106089272
9,3,P3_full_local_cost,16,0,15,0.791666666666667,0.590747281711379,96,1536,-0.711143499794009
10,3,P3_full_local_cost,18,0,16,0.875,0.578782694226302,108,1692,-0.544924505813438
11,3,P3_full_local_cost,17,0,16,0.916666666666667,0.503624176207863,102,1564,-0.456569277188082
12,3,P3_full_local_cost,18,0,17,0.958333333333333,0.536854005918078,72,1620,-0.576019652894393
13,3,P3_full_local_cost,17,0,17,0.958333333333333,0.577637275400264,68,1496,-0.488074523519418
14,3,P3_full_local_cost,17,0,18,1,0.571665605050674,68,1462,-0.650281990052778
15,3,P3_full_local_cost,18,0,18,1.08333333333333,0.606141317323625,72,1512,-0.539214343026235
16,3,P3_full_local_cost,18,0,17,0.875,0.544628281372883,72,1548,-0.607016708342061
17,3,P3_full_local_cost,17,0,19,0.875,0.579127342973902,68,1496,-0.656490755065441
18,3,P3_full_local_cost,18,0,18,0.875,0.623746653292093,108,1620,-0.615615188425165
19,3,P3_full_local_cost,17,0,18,0.916666666666667,0.605770942160259,102,1564,-0.53795474927356
20,3,P3_full_local_cost,14,0,17,0.833333333333333,0.555167494325999,84,1316,-0.531039977017688
21,3,P3_full_local_cost,17,0,18,0.916666666666667,0.593620706326633,102,1632,-0.776143503546629
22,3,P3_full_local_cost,18,0,20,1,0.57564772292335,108,1728,-0.572088595870717
23,3,P3_full_local_cost,18,0,22,1.25,0.478354187108357,108,1728,-0.619160166178175
24,3,P3_full_local_cost,17,0,20,1.16666666666667,0.560782845400939,102,1632,-0.654674313624989
25,3,P3_full_local_cost,18,0,21,1.16666666666667,0.577162500830054,108,1728,-0.538047940763797
26,3,P3_full_local_cost,18,0,22,1.375,0.612512423989778,108,1728,-0.672964423259146
27,3,P3_full_local_cost,18,0,22,1.29166666666667,0.587243417701931,108,1728,-0.678898756068752
28,3,P3_full_local_cost,16,0,21,1.20833333333333,0.563036770686374,96,1536,-0.478203140228345
29,3,P3_full_local_cost,18,0,22,1.16666666666667,0.557703153884545,108,1728,-0.786784488334328
30,3,P3_full_local_cost,17,0,22,1.29166666666667,0.535786826633607,102,1632,-0.812856828220434
