scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
medium_load,delay_only,-1,11007,192,35,55,102,0.18229166666666666,0.2864583333333333,1.1666666666666667,10.942857142857143,20.299999999999997,2.951388888888889,10,164,-29.175978878455805,0.2696629213483146,0.03333333333333333,0.20930232558139536
medium_load,delay_only,-1,11008,192,37,43,112,0.19270833333333334,0.22395833333333334,1.2333333333333334,10.216216216216216,20.199999999999996,2.852777777777778,10,213,-28.30977466024921,0.2755102040816326,0.08333333333333333,0.14705882352941177
medium_load,delay_only,-1,11009,192,40,46,106,0.20833333333333334,0.23958333333333334,1.3333333333333333,10.9,24.049999999999997,2.986111111111111,12,170,-27.459493314901906,0.24210526315789474,0.11864406779661017,0.2631578947368421
medium_load,delay_only,-1,11010,192,30,53,109,0.15625,0.2760416666666667,1.0,9.9,18.0,2.8847222222222224,13,162,-30.029399262539258,0.15476190476190477,0.12121212121212122,0.21428571428571427
medium_load,delay_only,-1,11011,192,33,47,112,0.171875,0.24479166666666666,1.1,8.93939393939394,19.4,2.9166666666666665,11,169,-28.880449768521157,0.2073170731707317,0.15151515151515152,0.13636363636363635
medium_load,delay_only,-1,11012,192,36,46,110,0.1875,0.23958333333333334,1.2,11.86111111111111,26.0,2.9611111111111112,11,174,-28.615090153406012,0.21348314606741572,0.13559322033898305,0.20454545454545456
medium_load,delay_only,-1,11013,192,37,46,109,0.19270833333333334,0.23958333333333334,1.2333333333333334,8.08108108108108,17.199999999999996,2.9194444444444443,13,142,-27.95543120619086,0.20833333333333334,0.1746031746031746,0.18181818181818182
medium_load,delay_only,-1,11014,192,36,39,117,0.1875,0.203125,1.2,10.277777777777779,21.0,2.952777777777778,9,163,-27.725361306256033,0.19791666666666666,0.12962962962962962,0.23809523809523808
medium_load,delay_only,-1,11015,192,37,47,108,0.19270833333333334,0.24479166666666666,1.2333333333333334,10.08108108108108,22.0,2.9569444444444444,14,185,-29.045139446979352,0.25,0.11864406779661017,0.17777777777777778
medium_load,delay_only,-1,11016,192,43,38,111,0.22395833333333334,0.19791666666666666,1.4333333333333333,11.162790697674419,22.799999999999997,3.0430555555555556,10,207,-26.32272437792137,0.25471698113207547,0.1568627450980392,0.22857142857142856
medium_load,delay_only,-1,11017,192,31,54,107,0.16145833333333334,0.28125,1.0333333333333334,10.806451612903226,19.0,3.0180555555555557,10,186,-30.137006246886273,0.1827956989247312,0.09375,0.22857142857142856
medium_load,delay_only,-1,11018,192,32,55,105,0.16666666666666666,0.2864583333333333,1.0666666666666667,10.40625,24.45,2.9569444444444444,12,179,-30.5672989891294,0.1744186046511628,0.14084507042253522,0.2
medium_load,delay_only,-1,11019,192,38,51,103,0.19791666666666666,0.265625,1.2666666666666666,9.210526315789474,20.04999999999999,2.763888888888889,11,175,-28.913226199000576,0.23469387755102042,0.13333333333333333,0.20588235294117646
medium_load,delay_only,-1,11020,192,37,43,112,0.19270833333333334,0.22395833333333334,1.2333333333333334,9.675675675675675,20.99999999999998,2.9722222222222223,11,168,-27.099502522574603,0.22330097087378642,0.12244897959183673,0.2
medium_load,full_heuristic,-1,11001,192,60,31,101,0.3125,0.16145833333333334,2.0,7.816666666666666,21.049999999999997,2.4972222222222222,10,76,-24.097873072120645,0.3522727272727273,0.25,0.3181818181818182
medium_load,full_heuristic,-1,11002,192,55,36,101,0.2864583333333333,0.1875,1.8333333333333333,8.163636363636364,20.299999999999997,2.425,10,88,-25.967008437330726,0.3409090909090909,0.21428571428571427,0.29411764705882354
medium_load,full_heuristic,-1,11003,192,61,40,91,0.3177083333333333,0.20833333333333334,2.033333333333333,10.163934426229508,23.0,2.5972222222222223,9,83,-26.112720297281335,0.3829787234042553,0.23880597014925373,0.2903225806451613
medium_load,full_heuristic,-1,11004,192,55,30,107,0.2864583333333333,0.15625,1.8333333333333333,8.381818181818181,19.0,2.7333333333333334,13,78,-23.14956372360196,0.3644859813084112,0.15217391304347827,0.23076923076923078
medium_load,full_heuristic,-1,11005,192,67,23,102,0.3489583333333333,0.11979166666666667,2.2333333333333334,9.134328358208956,19.0,2.5722222222222224,11,82,-21.945654868022306,0.3394495412844037,0.3617021276595745,0.3611111111111111
medium_load,full_heuristic,-1,11006,192,74,19,99,0.3854166666666667,0.09895833333333333,2.466666666666667,7.405405405405405,16.049999999999983,2.323611111111111,11,78,-20.106430427339358,0.36036036036036034,0.4489795918367347,0.375
medium_load,full_heuristic,-1,11007,192,72,32,88,0.375,0.16666666666666666,2.4,8.527777777777779,21.0,2.359722222222222,9,77,-23.304810752265766,0.43820224719101125,0.2833333333333333,0.37209302325581395
