scenario,policy,metric,n,mean,ci95_low,ci95_high
hotspot_high_load,global_dijkstra,drop_rate,50,0.16224,0.15860000000000002,0.16584
hotspot_high_load,global_dijkstra,throughput_packets_per_slot,50,4.982,4.927316666666667,5.036683333333333
hotspot_high_load,global_dijkstra,average_delay_slots,50,10.2183413255669,10.133100822465558,10.30209886197392
hotspot_high_load,global_dijkstra,p95_delay_slots,50,20.662,20.437,20.897
hotspot_high_load,global_dijkstra,mean_queue_packets,50,6.71525,6.680386805555555,6.7487499999999985
hotspot_high_load,q_routing,delivery_ratio,400,0.30855499999999997,0.30735500000000004,0.30974999999999997
hotspot_high_load,q_routing,drop_rate,400,0.16063999999999998,0.15933999999999998,0.16191512499999997
hotspot_high_load,q_routing,throughput_packets_per_slot,400,5.1425833333333335,5.122583333333335,5.1625
hotspot_high_load,q_routing,average_delay_slots,400,10.6413507014784,10.607418977959467,10.674786285916262
hotspot_high_load,q_routing,p95_delay_slots,400,20.952624999999998,20.871246875,21.033999999999995
hotspot_high_load,q_routing,mean_queue_packets,400,6.669097222222222,6.656846006944445,6.681368315972223
frequent_break,dqn_routing,delivery_ratio,150,0.7480208333333334,0.7433680555555556,0.7526736111111111
frequent_break,dqn_routing,drop_rate,150,0.01475694444444444,0.013020833333333336,0.016527777777777773
frequent_break,dqn_routing,throughput_packets_per_slot,150,4.7873333333333346,4.757555555555555,4.817111111111111
frequent_break,dqn_routing,average_delay_slots,150,6.1459981052597685,6.071678160630391,6.218521125491142
frequent_break,dqn_routing,p95_delay_slots,150,11.272666666666666,11.089991666666663,11.460675
frequent_break,dqn_routing,mean_queue_packets,150,1.347509259259259,1.328905787037037,1.3655835648148147
frequent_break,mappo,delivery_ratio,400,0.7585677083333334,0.7555725911458333,0.7615107421875
frequent_break,mappo,drop_rate,400,0.013580729166666665,0.012669270833333333,0.014557291666666665
frequent_break,mappo,throughput_packets_per_slot,400,4.854833333333334,4.835664583333333,4.87366875
frequent_break,mappo,average_delay_slots,400,6.128981795925192,6.0842988551982495,6.175122441617293
frequent_break,mappo,p95_delay_slots,400,10.9465,10.841996875,11.052628124999998
frequent_break,mappo,mean_queue_packets,400,1.3284340277777777,1.317214409722222,1.340084548611111
frequent_break,global_dijkstra,delivery_ratio,50,0.7070833333333334,0.6983333333333333,0.7155208333333334
frequent_break,global_dijkstra,drop_rate,50,0.03239583333333333,0.028333333333333332,0.036770833333333336
frequent_break,global_dijkstra,throughput_packets_per_slot,50,4.525333333333333,4.469333333333333,4.5793333333333335
frequent_break,global_dijkstra,average_delay_slots,50,6.504288215865447,6.372254803727132,6.637491118862033
frequent_break,global_dijkstra,p95_delay_slots,50,12.867999999999997,12.519999999999998,13.223049999999999
frequent_break,global_dijkstra,mean_queue_packets,50,1.4830555555555558,1.4496937500000002,1.5160576388888891
frequent_break,q_routing,delivery_ratio,400,0.7520963541666665,0.7491666666666668,0.754921875
frequent_break,q_routing,drop_rate,400,0.0140234375,0.013059895833333333,0.015013020833333335
frequent_break,q_routing,throughput_packets_per_slot,400,4.813416666666667,4.794666666666667,4.8315
frequent_break,q_routing,average_delay_slots,400,6.1937878413818,6.146869669907784,6.241742085260166
frequent_break,q_routing,p95_delay_slots,400,11.303625,11.189493749999999,11.417874999999999
frequent_break,q_routing,mean_queue_packets,400,1.3490243055555555,1.3376075520833335,1.3609447916666666
fault_links,dqn_routing,delivery_ratio,150,0.756388888888889,0.7495833333333334,0.763125
fault_links,dqn_routing,drop_rate,150,0.014270833333333333,0.01173611111111111,0.016875868055555545
fault_links,dqn_routing,throughput_packets_per_slot,150,4.840888888888889,4.7973333333333334,4.884
fault_links,dqn_routing,average_delay_slots,150,5.994643561078061,5.917097113616346,6.071676088336309
fault_links,dqn_routing,p95_delay_slots,150,10.903666666666664,10.725316666666664,11.090333333333332
fault_links,dqn_routing,mean_queue_packets,150,1.3121296296296296,1.2897030092592594,1.3342687500000001
fault_links,mappo,delivery_ratio,400,0.763359375,0.7592838541666665,0.7673958333333333
fault_links,mappo,drop_rate,400,0.0135546875,0.012069986979166666,0.01501302083333333
fault_links,mappo,throughput_packets_per_slot,400,4.8855,4.859416666666666,4.911333333333333
fault_links,mappo,average_delay_slots,400,5.96914365783854,5.9194797195994955,6.018065804535236
fault_links,mappo,p95_delay_slots,400,10.788374999999998,10.67575,10.89725
fault_links,mappo,mean_queue_packets,400,1.2988645833333334,1.2850197916666666,1.3123
fault_links,global_dijkstra,delivery_ratio,50,0.7144791666666667,0.7030208333333334,0.7257291666666668
fault_links,global_dijkstra,drop_rate,50,0.03197916666666668,0.026458333333333334,0.037395833333333336
fault_links,global_dijkstra,throughput_packets_per_slot,50,4.572666666666667,4.499333333333333,4.644666666666667
fault_links,global_dijkstra,average_delay_slots,50,6.372069169150823,6.246357780393953,6.496029332965784
fault_links,global_dijkstra,p95_delay_slots,50,12.859999999999998,12.522999999999998,13.198999999999996
fault_links,global_dijkstra,mean_queue_packets,50,1.4527222222222225,1.4146659722222226,1.4888624999999998
fault_links,q_routing,delivery_ratio,400,0.7621354166666666,0.7580856119791667,0.7662760416666665
fault_links,q_routing,drop_rate,400,0.013138020833333333,0.011536458333333334,0.014700846354166661
fault_links,q_routing,throughput_packets_per_slot,400,4.877666666666666,4.851747916666667,4.904166666666666
fault_links,q_routing,average_delay_slots,400,5.9741312608852555,5.926705909401452,6.021534659523212
fault_links,q_routing,p95_delay_slots,400,10.856,10.738246875,10.970878124999999
fault_links,q_routing,mean_queue_packets,400,1.3000625,1.286144878472222,1.3136322916666667
