scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,policy_seed_mean_std,ci95_low,ci95_high,bootstrap_standard_error,ci_method,ci_resamples,confidence_level
fault_links,mappo,global_queue_cost,400,8,50,0.031210030864197533,0.0031388448037140216,0.0005316906071126471,0.03032004436728395,0.03211378858024692,0.0004579732958894441,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,global_load_imbalance,400,8,50,0.6913061599773599,0.016298799566409016,0.005280541262967461,0.6859635775258005,0.696633126464938,0.002726101042039999,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,global_switch_cost,400,8,50,0.08608345713763796,0.04055708730867093,0.03454253685866316,0.0647605951962572,0.11035955384762808,0.01175599573104288,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,global_throughput_reward,400,8,50,0.31010478796392993,0.02305644856448844,0.0019203197863206704,0.30370950186919277,0.31640929400224505,0.0032529252620366457,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,global_control_overhead_ratio,400,8,50,0.05453788962751304,0.0018242497023122494,0.0004004884310639201,0.05399263440145206,0.05507306055027331,0.0002763400644179333,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,global_drop_cost,400,8,50,0.006812846462604589,0.006164315430876789,0.0007187123945787852,0.005232051422841864,0.00858582251355205,0.0008581664069797641,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,delivery_ratio,50,1,50,0.7054166666666667,0.041482373042566294,0.0,0.6942708333333334,0.7168749999999999,0.00578552341784185,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,drop_rate,50,1,50,0.034895833333333334,0.021077701598534667,0.0,0.02927083333333333,0.0407317708333333,0.002943641404754952,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,throughput_packets_per_slot,50,1,50,4.514666666666667,0.2654871874724243,0.0,4.438666666666666,4.586666666666666,0.03743712386489275,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,average_delay_slots,50,1,50,6.471563399335895,0.42302735841060496,0.0,6.357020462751443,6.588283295344741,0.05886418087478969,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,p95_delay_slots,50,1,50,13.094999999999995,1.3992800627028004,0.0,12.711999999999998,13.488,0.19804921742421636,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,mean_queue_packets,50,1,50,1.4790833333333335,0.12215598403527392,0.0,1.4460270833333333,1.513251388888889,0.016952205351637595,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,routing_switches,50,1,50,44.5,9.16348120285637,0.0,42.1,47.14,1.2833460174497369,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,episode_reward,50,1,50,7.914647572754803,2.1593377739786286,0.0,7.309982138932545,8.484065821011445,0.3028881602857391,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,global_delay_cost,50,1,50,0.2069675353073613,0.012564652037013123,0.0,0.20343282573882926,0.21053212852824038,0.0017939994221130853,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,global_queue_cost,50,1,50,0.03403703703703703,0.0028344420647810624,0.0,0.03326233024691358,0.034815493827160496,0.0003973636751254645,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,global_load_imbalance,50,1,50,0.7325930681027009,0.013213898177967772,0.0,0.7289194509292316,0.7361640907840495,0.0018277877689701991,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,global_switch_cost,50,1,50,0.10001036206082647,0.01943565877728683,0.0,0.09480716509389303,0.10557042203818713,0.002727774537336373,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,global_throughput_reward,50,1,50,0.31354003910606076,0.022433602320357453,0.0,0.30730377304963413,0.3196777617816337,0.0031332689852609273,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,global_control_overhead_ratio,50,1,50,0.058119487750877094,0.0018123759708330283,0.0,0.057637099751893316,0.058622515523661864,0.0002511926879056133,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,ospf_ecmp,global_drop_cost,50,1,50,0.014993999759557034,0.009120707761859855,0.0,0.012594272709359783,0.017513437141705328,0.0012813075113559766,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,delivery_ratio,400,8,50,0.4257682291666666,0.03679107459551907,0.007102114784499209,0.4151432291666667,0.4358860677083333,0.0052684150630158185,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,q_routing,drop_rate,400,8,50,0.1443098958333333,0.027610160143425908,0.0035547454153227317,0.13661360677083334,0.15179720052083331,0.003820455302426332,crossed_pigeonhole_bootstrap_percentile,5000,0.95
