scenario,reference,baseline,metric,n_paired_workloads,sigma_d_paired,observed_diff_ref_minus_base,mde_abs,mde_rel_to_baseline,alpha,power,wilcoxon_p,is_null_at_alpha,observed_below_mde
hotspot_high_load,mappo,full_heuristic,average_delay_slots,50,0.6406584443692213,0.2629755264222587,0.2538314262228159,0.024616559015161292,0.05,0.8,0.010566648384996213,False,False
hotspot_high_load,mappo,full_heuristic,p95_delay_slots,50,1.7479910845403803,-0.9859999999999992,0.6925610267269703,0.03218818677853553,0.05,0.8,0.0005582497237033994,False,False
hotspot_high_load,mappo,full_heuristic,mean_queue_packets,50,0.11747692439487252,-0.9758576388888889,0.046544825139673125,0.005953271341422906,0.05,0.8,1.7763568394002505e-15,False,False
hotspot_high_load,mappo,full_heuristic,routing_switches,50,15.450146332111986,-47.0825,6.121409486286328,0.0333373787511509,0.05,0.8,7.553512643873762e-10,False,False
hotspot_high_load,mappo,global_dijkstra,delivery_ratio,50,0.006319559852924396,-0.020119999999999978,0.002503834772907136,0.008493333693714841,0.05,0.8,7.541564726440781e-10,False,False
hotspot_high_load,mappo,global_dijkstra,drop_rate,50,0.006388607925400476,0.010634999999999995,0.0025311918941135787,0.015475616863007939,0.05,0.8,4.005119467419081e-09,False,False
hotspot_high_load,mappo,global_dijkstra,throughput_packets_per_slot,50,0.10532599754873999,-0.3353333333333333,0.04173057954845229,0.008493333693714848,0.05,0.8,7.539859267508617e-10,False,False
hotspot_high_load,mappo,global_dijkstra,average_delay_slots,50,0.26782664973337883,0.21266012190109063,0.10611398488509201,0.010240957319014338,0.05,0.8,2.1002898957789284e-06,False,False
hotspot_high_load,mappo,global_dijkstra,p95_delay_slots,50,1.1239976827450873,-0.4840000000000005,0.44533235671814464,0.021192174584474387,0.05,0.8,0.002049094724295486,False,False
hotspot_high_load,mappo,global_dijkstra,mean_queue_packets,50,0.06068163174254151,0.0893645833333333,0.024042304079676002,0.0035601672755810514,0.05,0.8,4.440892098500626e-14,False,False
